Top 100 Rank,Name
1,Mike Trout
2,Justin Verlander
3,Miguel Cabrera
4,Matt Kemp
5,Clayton Kershaw
6,Ryan Braun
7,Felix Hernandez
8,Robinson Cano
9,Joey Votto
10,Josh Hamilton
11,Prince Fielder
12,David Price
13,Adrian Beltre
14,Albert Pujols
15,Giancarlo Stanton
16,Evan Longoria
17,Andrew McCutchen
18,CC Sabathia
19,Cliff Lee
20,Cole Hamels
21,Buster Posey
22,David Wright
23,Adam Jones
24,Yadier Molina
25,Jose Reyes
26,Stephen Strasburg
27,Craig Kimbrel
28,Jose Bautista
29,Ryan Zimmerman
30,Carlos Gonzalez
31,Brandon Phillips
32,Aramis Ramirez
33,Paul Konerko
34,Dustin Pedroia
35,Justin Upton
36,Jay Bruce
37,Jered Weaver
38,Joe Mauer
39,Edwin Encarnacion
40,Ian Kinsler
41,Matt Holliday
42,Yoenis Cespedes
43,Josh Willingham
44,Pablo Sandoval
45,Matt Cain
46,Roy Halladay
47,A.J. Pierzynski
48,Matt Wieters
49,Gio Gonzalez
50,R.A. Dickey
51,Troy Tulowitzki
52,Starlin Castro
53,Derek Jeter
54,Bryce Harper
55,Billy Butler
56,Chris Sale
57,Zack Greinke
58,Austin Jackson
59,Jason Heyward
60,David Ortiz
61,Mariano Rivera
62,Jonathan Papelbon
63,Johnny Cueto
64,Wade Miley
65,Kyle Lohse
66,J.J. Hardy
67,David Freese
68,James Shields
69,B.J. Upton
70,Alex Gordon
71,Madison Bumgarner
72,Yovani Gallardo
73,Adam LaRoche
74,Chase Headley
75,Ian Desmond
76,Jason Motte
77,Jim Johnson
78,Curtis Granderson
79,Miguel Montero
80,Brian McCann
81,Carlos Ruiz
82,Carlos Beltran
83,Torii Hunter
84,Allen Craig
85,Michael Morse
86,Brett Lawrie
87,Mike Moustakas
88,Jon Lester
89,Adam Wainwright
90,Aroldis Chapman
91,Michael Bourn
92,Jordan Zimmermann
93,Victor Martinez
94,Jacoby Ellsbury
95,Adrian Gonzalez
96,Chase Utley
97,Elvis Andrus
98,Yu Darvish
99,Sergio Romo
100,Ryan Howard
