Top 100 Rank,Name
1,Clayton Kershaw
2,Mike Trout
3,Felix Hernandez
4,Giancarlo Stanton
5,Chris Sale
6,Andrew McCutchen
7,Miguel Cabrera
8,Buster Posey
9,Jose Abreu
10,Robinson Cano
11,Max Scherzer
12,Jose Bautista
13,Paul Goldschmidt
14,Adam Wainwright
15,Corey Kluber
16,Johnny Cueto
17,Troy Tulowitzki
18,Josh Donaldson
19,Yadier Molina
20,Adrian Beltre
21,Michael Brantley
22,Adam Jones
23,Jonathan Lucroy
24,Bryce Harper
25,David Price
26,Madison Bumgarner
27,Hanley Ramirez
28,Zack Greinke
29,Ian Desmond
30,Jose Altuve
31,Anthony Rendon
32,Joey Votto
33,Victor Martinez
34,Craig Kimbrel
35,Jordan Zimmermann
36,David Ortiz
37,Justin Upton
38,Carlos Gomez
39,Wade Davis
40,Greg Holland
41,Jhonny Peralta
42,Carlos Gonzalez
43,Jon Lester
44,Jason Heyward
45,Yu Darvish
46,Matt Holliday
47,Hisashi Iwakuma
48,Hunter Pence
49,Edwin Encarnacion
50,Cole Hamels
51,Evan Longoria
52,Dustin Pedroia
53,Anthony Rizzo
54,Jacoby Ellsbury
55,Matt Kemp
56,Yan Gomes
57,Kyle Seager
58,Adrian Gonzalez
59,Masahiro Tanaka
60,Matt Harvey
61,Aroldis Chapman
62,Yasiel Puig
63,Ryan Braun
64,Josh Harrison
65,Alex Gordon
66,Nelson Cruz
67,Freddie Freeman
68,Doug Fister
69,Stephen Strasburg
70,Sonny Gray
71,Salvador Perez
72,Carlos Santana
73,Neil Walker
74,Todd Frazier
75,J.D. Martinez
76,Jayson Werth
77,Alex Cobb
78,Julio Teheran
79,Christian Yelich
80,Jose Fernandez
81,Starling Marte
82,Jeff Samardzija
83,Chris Carter
84,Nolan Arenado
85,Andrelton Simmons
86,Jose Reyes
87,Kenley Jansen
88,Lance Lynn
89,Jake Arrieta
90,Russell Martin
91,Devin Mesoraco
92,Gerrit Cole
93,Adam Eaton
94,Ben Zobrist
95,Pablo Sandoval
96,Yordano Ventura
97,Prince Fielder
98,Justin Verlander
99,Albert Pujols
100,Joe Mauer
