Top 100 Rank,Name
1,Mike Trout
2,Mookie Betts
3,Nolan Arenado
4,Francisco Lindor
5,Max Scherzer
6,Jose Altuve
7,Alex Bregman
8,Christian Yelich
9,Jose Ramirez
10,Jacob deGrom
11,J.D. Martinez
12,Aaron Judge
13,Chris Sale
14,Manny Machado
15,Bryce Harper
16,Paul Goldschmidt
17,Freddie Freeman
18,Joey Votto
19,Giancarlo Stanton
20,Justin Verlander
21,Anthony Rendon
22,Justin Turner
23,Corey Kluber
24,Aaron Nola
25,Clayton Kershaw
26,Blake Snell
27,Matt Chapman
28,Lorenzo Cain
29,Javier Baez
30,Trevor Story
31,Carlos Correa
32,Kris Bryant
33,Matt Carpenter
34,Anthony Rizzo
35,Ronald Acuna Jr.
36,Juan Soto
37,George Springer
38,Charlie Blackmon
39,Mitch Haniger
40,J.T. Realmuto
41,Trevor Bauer
42,Gerrit Cole
43,Luis Severino
44,Cody Bellinger
45,Tommy Pham
46,Xander Bogaerts
47,Andrelton Simmons
48,Corey Seager
49,Whit Merrifield
50,Eugenio Suarez
51,Josh Hader
52,Edwin Diaz
53,Craig Kimbrel
54,Robinson Cano
55,Brandon Nimmo
56,Andrew Benintendi
57,Khris Davis
58,Matt Olson
59,Rhys Hoskins
60,Michael Conforto
61,Josh Donaldson
62,Jesus Aguilar
63,Max Muncy
64,Kyle Freeland
65,Walker Buehler
66,Carlos Carrasco
67,Justin Upton
68,Aaron Hicks
69,Gleyber Torres
70,Scooter Gennett
71,Zack Greinke
72,Blake Treinen
73,Aroldis Chapman
74,Nelson Cruz
75,Michael Brantley
76,Marcell Ozuna
77,Jose Abreu
78,Patrick Corbin
79,Noah Syndergaard
80,Stephen Strasburg
81,Shohei Ohtani
82,Mike Clevinger
83,Jean Segura
84,Trea Turner
85,Ozzie Albies
86,David Peralta
87,Nicholas Castellanos
88,Kenley Jansen
89,Sean Doolittle
90,Yasiel Puig
91,Miguel Andujar
92,Buster Posey
93,Gary Sanchez
94,Travis Shaw
95,Andrew McCutchen
96,Yasmani Grandal
97,Stephen Piscotty
98,Jon Lester
99,Madison Bumgarner
100,David Price
