Top 100 Rank,Name
1,Mike Trout
2,Clayton Kershaw
3,Miguel Cabrera
4,Andrew McCutchen
5,Robinson Cano
6,Adrian Beltre
7,Felix Hernandez
8,Joey Votto
9,Paul Goldschmidt
10,David Price
11,Carlos Gonzalez
12,Max Scherzer
13,Troy Tulowitzki
14,Yadier Molina
15,Evan Longoria
16,Hanley Ramirez
17,Buster Posey
18,Jose Fernandez
19,Chris Sale
20,Giancarlo Stanton
21,Adam Jones
22,Bryce Harper
23,Yasiel Puig
24,Ryan Braun
25,David Wright
26,Craig Kimbrel
27,Dustin Pedroia
28,David Ortiz
29,Manny Machado
30,Chris Davis
31,Yu Darvish
32,Adam Wainwright
33,Justin Verlander
34,Joe Mauer
35,Aroldis Chapman
36,Jay Bruce
37,Stephen Strasburg
38,Zack Greinke
39,Edwin Encarnacion
40,Victor Martinez
41,Matt Holliday
42,Shin-Soo Choo
43,Wil Myers
44,Carlos Gomez
45,Freddie Freeman
46,Prince Fielder
47,Carlos Beltran
48,Ryan Zimmerman
49,Jayson Werth
50,Jose Bautista
51,Jacoby Ellsbury
52,Adrian Gonzalez
53,Allen Craig
54,Cliff Lee
55,Hisashi Iwakuma
56,Jordan Zimmermann
57,Cole Hamels
58,Alex Gordon
59,Matt Kemp
60,Jean Segura
61,Jose Reyes
62,Ian Desmond
63,J.J. Hardy
64,Brian McCann
65,Matt Carpenter
66,James Shields
67,Greg Holland
68,Madison Bumgarner
69,Gio Gonzalez
70,Jason Kipnis
71,Anibal Sanchez
72,Justin Upton
73,Michael Cuddyer
74,Hunter Pence
75,Eric Hosmer
76,Josh Hamilton
77,Carlos Santana
78,Salvador Perez
79,Pedro Alvarez
80,Albert Pujols
81,Chase Utley
82,Koji Uehara
83,Jon Lester
84,Billy Butler
85,Matt Wieters
86,Joe Nathan
87,Josh Donaldson
88,Matt Cain
89,Clay Buccholz
90,Patrick Corbin
91,Trevor Rosenthal
92,Michael Wacha
93,Shelby Miller
94,Gerrit Cole
95,Ian Kinsler
96,Shane Victorino
97,Andrelton Simmons
98,Torii Hunter
99,Brandon Phillips
100,Derek Jeter
